Material,EC_factor_kgCO2e_per_m3,Density_kg_per_m3,Source
Concrete,600,2400,"Cameroon C25/30 with CIMENCAM CEM II/B-LL clinker mix; approx. 290 kgCO2e/t cement (ECRA Africa avg)"
Reinforced Concrete,900,2500,"Cameroon C25/30 + imported rebar (~80 kg/m3); steel EF from West-African imports"
In-situ Concrete,600,2400,Cameroon in-situ concrete
Concrete Cast-in-Place,600,2400,Cameroon cast-in-place concrete (Revit naming)
Cast-in-Place Concrete,600,2400,Cameroon cast-in-place concrete
Precast Concrete,720,2400,Cameroon precast (limited local production; mostly road kerbs / hollow blocks)
Lean Concrete,420,2300,Cameroon lean mix (C15) for blinding
Cement Mortar,520,2100,Cameroon mortar with CIMENCAM CEM II cement
Mortar,520,2100,Cameroon mortar / mason's mix
Render,520,2100,Cameroon cement-sand render
Screed,480,2100,Cameroon cement screed
Cement,820,3150,"Cement powder used in Cameroon; volumetric factor corrected from erroneous 820000 to 820 kgCO2e/m3"
CEM II Cement,820,3150,"CIMENCAM CEM II class cement used for mortars, blocks and general concrete in Cameroon"
CEM I Cement,900,3150,"Higher-clinker Portland cement used in Cameroon for higher-strength and white-cement applications"
CIMENCAM MULTIX,820,3150,"CIMENCAM MULTIX (CEM IV B-P 32.5 R) multi-use cement sold in Cameroon"
CIMENCAM ROBUST,820,3150,"CIMENCAM ROBUST (CEM II B-P 42.5 R) cement sold in Cameroon"
CIMENCAM HYDRO,820,3150,"CIMENCAM HYDRO (CEM II B-P 42.5 R) hydrophobic cement sold in Cameroon"
CIMENCAM KOSTO,900,3150,"CIMENCAM KOSTO (CEM I 42.5 R) cement sold in Cameroon"
CIMENCAM SUBLIM,900,3150,"CIMENCAM SUBLIM (white CEM I 42.5 R) cement sold in Cameroon"
Dangote Cement 32.5R,780,3150,"Dangote Cameroon CEM II 32.5R; lower clinker content than 42.5R product"
Dangote 3X Cement 42.5R,820,3150,"Dangote Cameroon 3X Cement 42.5R CEM II / CEM II-AL grade"
Dangote Cement 52.5,900,3150,"Dangote Cameroon CEM I 52.5 for major infrastructure works"
CIMAF Cement 42.5R,820,3150,"CIMAF cement sold in Cameroon; 42.5R class widely marketed for general concrete and mortar"
Medcem Cement 42.5R,820,3150,"Medcem cement sold in Cameroon; 42.5R class"
